x,y,z,label
-35.283430999369536,-21.779673447808708,-113.96412406851245,1.0
-35.60363586071162,-18.430419979598074,-113.29800898007521,1.0
-34.202933808291625,-22.36290554075396,-106.97970895530833,1.0
-34.035994036033856,-19.65540110267288,-106.70239478773179,1.0
-35.36558878236302,-22.747939929023307,-110.30732086251798,1.0
-36.49929766005725,-23.64046200258468,-110.05691389361519,1.0
-36.34129206079068,-19.272254657062142,-104.83596554720921,1.0
-41.84718574226306,-24.46662459856463,-112.61016346888475,1.0
-33.372676762888254,-20.82531730940589,-107.30533176018008,1.0
-35.12980394218802,-19.009214009533743,-108.70148879033599,1.0
-36.8614790185955,-22.70513634749647,-110.63336785963209,1.0
-33.05691243913914,-24.26205794948048,-109.23016378315221,1.0
-37.77122949736206,-27.767364267802307,-105.13264384482711,1.0
-36.12362783462941,-16.29489182149242,-109.0247741547688,1.0
-39.92949428732705,-21.63567099145211,-107.71853012246903,1.0
-36.91091441092289,-21.747514658799183,-109.6111134781384,1.0
-35.592784754826255,-24.521989560692578,-114.5849335734893,1.0
-35.1329149945811,-19.289181271572314,-107.61441251744316,1.0
-35.932128693870176,-18.390784066250838,-106.26947253809392,1.0
-34.630596303632586,-22.213719950358243,-110.917810818851,1.0
-35.22864832883822,-23.65158412950977,-111.0688250269353,1.0
-37.71310381139133,-21.246318500610997,-107.68903814759327,1.0
-38.08557848059729,-23.167101706748692,-108.52377696249776,1.0
-38.33431454718437,-21.48939138053121,-107.22398395630302,1.0
-39.68545019878597,-25.175701970007793,-107.65134255686263,1.0
-34.682135801473116,-20.506791017582852,-107.68519706120475,1.0
-29.97370695140982,-18.617144754012635,-103.25160618386892,1.0
-34.78163655059198,-22.61154736589211,-114.17344222934639,1.0
-36.02602106133813,-22.59422608617311,-104.3513638129884,1.0
-35.967401113637216,-20.78679197820312,-106.04805641652031,1.0
-36.095916523784105,-20.590255301232126,-115.25530736741842,1.0
-35.07175640327415,-21.804331487712844,-109.1234240441935,1.0
-39.653901107118166,-24.69313891582366,-103.32233577373553,1.0
-39.22120336174534,-18.861485487245027,-114.03189560752136,1.0
-33.27459653028732,-21.91149126984389,-103.04100843434793,1.0
-33.197014262775845,-21.06999918295909,-106.2511619163563,1.0
-34.17495376685941,-22.42083577723735,-112.1646539764522,1.0
-36.327967170497644,-26.333918056878673,-108.82901769647165,1.0
-34.82868559722371,-23.691781133375294,-102.95184527242037,1.0
-37.08168454617281,-23.222999857323686,-108.88837307186459,1.0
-37.867428687840004,-30.898668265057246,-106.79085800559194,1.0
-34.01591035276067,-23.352972925218513,-112.68733269499978,1.0
-37.41497613952824,-24.72158774954861,-108.15513078904894,1.0
-34.878428683526785,-20.961144732182472,-106.2989124868783,1.0
-38.16822010423736,-18.93470542682295,-102.55955922547514,1.0
